# Coxhead (2000) Academic Word List — 570 word families in 10 sublists
# Machine-readable source: github.com/lpmi-13/machine_readable_wordlists (MIT),
# Academic/AWL/AWL.json (retrieved 2026-09-05).
# Format: headword<TAB>sublist<TAB>family members (space-separated)
analyse	1	analysed analyser analysing analysis analyst analytic analytical analytically analyze analyzed analyzing
approach	1	approachable approached approaches approaching unapproachable
area	1	areas
assess	1	assessable assessed assesses assessing assessment assessments reassess reassessed reassessing reassessment unassessed
assume	1	assumed assumes assuming assumption assumptions
authority	1	authoritative authorities
available	1	availability unavailable
benefit	1	beneficial beneficiaries beneficiary benefited benefiting benefits
concept	1	conception concepts conceptual conceptualisation conceptualise conceptualised conceptualises conceptualising conceptually
consist	1	consisted consistency consistent consistently consisting consists inconsistencies inconsistency inconsistent
constitute	1	constituencies constituency constituent constituents constituted constitutes constituting constitution constitutional constitutionally constitutions constitutive unconstitutional
context	1	contexts contextual contextualise contextualised contextualising contextualize contextualized contextualizing uncontextualised uncontextualized
contract	1	contracted contracting contractor contractors contracts
create	1	created creates creating creation creations creative creatively creativity creator creators recreate recreated recreates recreating
data	1	data
define	1	definable defined defines defining definition definitions redefine redefined redefines redefining undefined
derive	1	derivation derivations derivative derivatives derived derives deriving
distribute	1	distributed distributing distribution distributional distributions distributive distributor distributors redistribute redistributed redistributes redistributing redistribution
economy	1	economic economical economically economics economies economist economists uneconomical
environment	1	environmental environmentalist environmentalists environmentally environments
establish	1	disestablish disestablished disestablishes disestablishing disestablishment established establishes establishing establishment establishments
estimate	1	estimated estimates estimating estimation estimations overestimate overestimated overestimates overestimating over‑estimate underestimate underestimated underestimates underestimating
evident	1	evidence evidenced evidential evidently
export	1	exported exporter exporters exporting exports
factor	1	factored factoring factors
finance	1	financed finances financial financially financier financiers financing
formula	1	formulae formulas formulate formulated formulating formulation formulations reformulate reformulated reformulating reformulation reformulations
function	1	functional functionally functioned functioning functions
identify	1	identifiable identification identified identifies identifying identities identity unidentifiable
income	1	incomes
indicate	1	indicated indicates indicating indication indications indicative indicator indicators
individual	1	individualised individualism individualist individualistic individualists individuality individually individuals
interpret	1	interpretation interpretations interpretative interpreted interpreting interpretive interprets misinterpret misinterpretation misinterpretations misinterpreted misinterpreting misinterprets reinterpret reinterpretation reinterpretations reinterpreted reinterpreting reinterprets
involve	1	involved involvement involves involving uninvolved
issue	1	issued issues issuing
labour	1	labor labored labors laboured labouring labours
legal	1	illegal illegality illegally legality legally
legislate	1	legislated legislates legislating legislation legislative legislator legislators legislature
major	1	majorities majority
