lemma	top	first_tag
في	Z	Z5
من	Z	Z5
على	Z	Z5
أن	Z	Z5
الذي	Z	Z5
إلى	Z	Z5
هذا	M	M6
كان-	Z	Z5
لا	Z	Z6
عن	Z	Z5
ما	Z	Z8
قد	A	A13.3
إن	Z	Z5
ذلك	Z	Z5
أو	Z	Z5
ل-	Z	Z5
هو	Z	Z8m
مع	Z	Z5
كل	N	N5.1
عربي	Z	Z2
لم	A	A2.2
بين	Z	Z5
و	Z	Z5
قال-	Q	Q1.1
ي	Z	Z5
هي	Z	Z8f
بعد	Z	Z5
ب	Z	Z5
بعض	N	N5
غير	Z	Z6
حتى	Z	Z5
الله	Z	Z1/S9
كما	Z	Z5
عمل	I	I3.1
أول	N	N4
يوم	T	T1.1.2
عام	T	T1.3
نفس	A	A6.1
إلا	A	A1.8
ل	Z	Z5
عالم	W	W1
حيث	Z	Z5
رأى-	X	X3.4
حياة	L	L1
أي	N	N5.1
ال	Z	Z5
كبير	N	N3.2
أحد	N	N1
ليس	Z	Z6
كثير	N	N5
أخرى	A	A6.1
جديد	T	T3
أكثر	N	N5
سنة	T	T1.3
إسلامي	S	S9
خلال	Z	Z5
لكن	A	A13.1
ثم	Z	Z5
إذا	Z	Z7
ن	Z	Z5
سعودي	Z	Z2
دولة	G	G1.1
مسلم	S	S9/S2m
هناك	Z	Z5
قبل	Z	Z5
أمر	X	X4.1
أمكن	X	X7
قام-	A	A1.1.1
عند	Z	Z5
مثل	Z	Z5
لأن	Z	Z5/A2.2
وجد-	A	A10
شركة	I	I2.1/S5
إسلام	S	S9
كتاب	Q	Q4.1
آخر	A	A6.1
شيء	O	O2
إنسان	S	S2mf
أ	Z	Z5
عدد	N	N1
تم-	X	X6
أمريكي	Z	Z2
ه	Z	Z5
بأن	Z	Z5
علم	X	X2.2
منطقة	W	W3
سبب	A	A2.2
بل	Z	Z5
أيض	B	B1
حديث	T	T3
واحد	N	N1
ماء	O	O1.2
جميع	N	N5.1
بدأ-	T	T2
مدينة	M	M7c
ذات	A	A6.1
مجال	X	X4.1
طريق	M	M3
شكل	O	O4.4
ثاني	N	N4
أما	Z	Z5
وقت	T	T1
حق	A	A5.2
بلد	G	G1.1
منذ	T	T1.1.1
أرض	W	W3
لغة	Q	Q3
الآن	Z	Z5
أصبح	A	A2.1
طفل	S	S2m/T3
علمي	Y	Y1
أنا	Z	Z8mf
عندما	Z	Z5
ناس	S	S2mf
لدى	Z	Z5
عرف-	X	X2.2
عالمي	M	M7
رجل	S	S2.2m
هل	Z	Z5
نوع	A	A4.1
نسبة	N	N2
بحث	Q	Q2.2
حالة	O	O4.1
هنا	M	M6
صورة	C	C1
نظام	G	G1.1
ٱستطاع	A	A7
عين	B	B1
دون	Z	Z5
مما	Z	Z5
خاصة	A	A14
تاريخ	T	T1.2
رئيس	G	G1.1/S7.1+/S2m
عملية	A	A1.1.1
ٱبن	S	S4m
م	Z	Z5
حول	Z	Z5
مكان	M	M7
مختلف	A	A6.1
سياسي	G	G1.2
وصل-	M	M1
مدرسة	P	P1/H1
برنامج	Y	Y2
قوة	S	S7.1
مشروع	X	X7
خدمة	S	S8
جانب	A	A4.1
عاد-	M	M1
دراسة	P	P1
دين	S	S9
مجتمع	S	S5
خاص	A	A4.2
يد	B	B1
حد	A	A1.7
د	Z	Z5
بيت	H	H1
حين	Z	Z5
ألف	N	N1
صغير	N	N3.2
مرض	B	B2
ت	Z	Z5
جعل-	A	A2.1
مرة	N	N6
تعليم	P	P1
ٱقتصادي	I	I2.1/S2m
أراد	X	X7
أكبر	N	N3.2+/A2.1
ر	Z	Z5
حرب	G	G3
ٱعتبر	X	X2.1
ثلاث	N	N1
جاء	M	M1
شهر	T	T1.3
علاقة	A	A2.2
حركة	M	M1
سيارة	M	M3/O2
محمد	Z	Z1m
وضع	M	M2
حكم	X	X2.1
مركز	M	M6
كتب-	Q	Q1.2
نتيجة	A	A2.2
ٱجتماعي	S	S1.1.1
بحر	W	W3/M4
رغم	Z	Z5
عمل-	I	I3.1
ٱسم	Q	Q2.2
بن	S	S4m
ثقافة	C	C1
قرن	T	T1.3
دور	S	S1.1.3
فيما	Z	Z5
وجود	A	A3
نظر	X	X4.1
مرأة	S	S2.1f
أمام	M	M6
أدى	M	M6
رأي	X	X2.1
حال	O	O4.1
وجب-	S	S6
مستوى	O	O4.4
أخير	N	N4
أتى-	M	M1
زال-	T	T2
مادة	O	O1
بما	Z	Z5
قضية	G	G2.1
جامع	S	S9/H1
عاش	L	L1
وجه	B	B1
إضافة	N	N5
متحد	S	S5
قول	Q	Q2.1
سوق	I	I2.2
يا	Z	Z4
أمة	S	S5
كون	A	A1.1.1
درجة	A	A13.1
هم	Z	Z8m
طالب	P	P1/S2m
حضارة	S	S1.1.1
مشكلة	A	A12
كتابة	Q	Q1.2
فترة	T	T1.3
مليون	N	N1
كذلك	A	A6.1
رحلة	M	M1
مجلس	G	G1.1
دولي	M	M7
طبيعي	A	A6.2
أثر	A	A2.2
عامل	I	I3.1/S2m
سياحة	M	M1
قليل	N	N5
أخذ-	A	A9
